id,Potencia,Radiacion,Temperatura,Temperatura panel
626,-3042.0,1067.0,28.0,39.0
627,-2710.0,1040.0,28.0,41.0
628,-3029.0,1075.0,28.0,38.0
629,-3034.0,1062.0,28.0,38.0
630,-3040.0,1061.0,29.0,38.0
631,-3027.0,1053.0,29.0,38.0
632,-3027.0,1055.0,30.0,38.0
633,-3025.0,1049.0,30.0,39.0
634,-3031.0,1044.0,30.0,38.0
635,-3029.0,1023.0,30.0,38.0
636,-3021.0,1037.0,31.0,39.0
637,-3026.0,1045.0,31.0,40.0
638,-3033.0,1042.0,31.0,40.0
639,-3017.0,1036.0,32.0,40.0
640,-2273.0,1044.0,31.0,38.0
641,-3013.0,984.0,30.0,38.0
642,-3012.0,1019.0,30.0,34.0
643,-3010.0,1016.0,30.0,35.0
644,-2965.0,1005.0,30.0,35.0
645,-2921.0,983.0,30.0,34.0
646,-2912.0,964.0,31.0,37.0
647,-2882.0,940.0,31.0,39.0
648,-2839.0,927.0,29.0,38.0
649,-2757.0,903.0,28.0,32.0
650,-2713.0,878.0,28.0,33.0
651,-2722.0,857.0,26.0,30.0
652,-2469.0,823.0,25.0,29.0
653,-2204.0,746.0,24.0,29.0
654,-1834.0,642.0,24.0,27.0
655,-1419.0,511.0,23.0,29.0
656,-1016.0,404.0,22.0,26.0
657,-526.0,296.0,20.0,22.0
658,-107.0,79.0,19.0,20.0
659,-114.0,51.0,18.0,18.0
660,-37.0,37.0,18.0,18.0
661,6.0,7.0,17.0,18.0
662,7.0,-3.0,17.0,16.0
663,8.0,-4.0,16.0,16.0
664,8.0,-4.0,16.0,15.0
665,8.0,-5.0,15.0,14.0
666,8.0,-5.0,15.0,14.0
667,8.0,-5.0,14.0,14.0
668,8.0,-5.0,14.0,13.0
669,8.0,-5.0,14.0,13.0
670,8.0,-5.0,14.0,13.0
671,8.0,-4.0,13.0,12.0
672,8.0,-4.0,13.0,12.0
673,8.0,-4.0,13.0,12.0
674,8.0,-3.0,13.0,12.0
675,8.0,-2.0,14.0,13.0
676,8.0,-2.0,14.0,13.0
677,8.0,-3.0,14.0,13.0
678,8.0,-4.0,14.0,13.0
679,8.0,-2.0,14.0,13.0
680,8.0,-3.0,14.0,13.0
681,8.0,-2.0,14.0,13.0
682,8.0,-2.0,14.0,13.0
683,8.0,-4.0,13.0,13.0
684,8.0,-5.0,13.0,12.0
685,8.0,-4.0,12.0,11.0
686,8.0,-3.0,12.0,11.0
687,8.0,-2.0,12.0,12.0
688,8.0,-2.0,13.0,12.0
689,8.0,-2.0,13.0,12.0
690,8.0,-2.0,13.0,12.0
691,8.0,-2.0,13.0,12.0
692,8.0,-1.0,13.0,12.0
693,8.0,-1.0,13.0,13.0
694,8.0,-1.0,13.0,13.0
695,8.0,-1.0,13.0,13.0
696,8.0,-1.0,14.0,13.0
697,8.0,-1.0,14.0,13.0
698,8.0,-1.0,14.0,13.0
699,8.0,-1.0,14.0,14.0
700,0.0,1.0,14.0,14.0
701,-12.0,4.0,14.0,14.0
702,-33.0,9.0,14.0,14.0
